Date,Time,Analog_Voltage
##########
2018-11-22,14:50:55:604595,0.50
2018-11-22,14:51:54:607329,0.49
2018-11-22,14:52:53:610570,0.50
2018-11-22,14:53:52:609929,0.50
2018-11-22,14:54:51:630082,0.49
2018-11-22,14:55:50:631518,0.50
2018-11-22,14:56:49:634122,0.49
2018-11-22,14:57:48:636751,0.50
2018-11-22,14:58:47:638095,0.50
2018-11-22,14:59:46:640289,0.49
2018-11-22,15:00:45:658254,0.50
2018-11-22,15:01:44:660195,0.49
2018-11-22,15:02:43:662700,0.49
2018-11-22,15:03:42:681206,0.49
2018-11-22,15:04:41:701789,0.50
2018-11-22,15:05:40:705435,0.50
2018-11-22,15:06:39:705745,0.50
2018-11-22,15:07:38:726121,0.50
2018-11-22,15:08:37:746468,0.50
2018-11-22,15:09:36:745808,0.50
2018-11-22,15:10:35:767323,0.50
2018-11-22,15:11:34:779743,0.50
2018-11-22,15:12:33:767663,0.49
2018-11-22,15:13:32:769396,0.49
2018-11-22,15:14:31:770968,0.49
2018-11-22,15:15:30:773267,0.50
2018-11-22,15:16:29:792196,0.49
2018-11-22,15:17:28:793290,0.50
2018-11-22,15:18:27:796479,0.50
2018-11-22,15:19:26:815195,0.50
2018-11-22,15:20:25:815601,0.50
